t,direction
2026-07-16T06:30:00+00:00,long
2026-07-21T01:30:00+00:00,long
2026-07-21T21:00:00+00:00,long
2026-07-22T03:00:00+00:00,long
2026-08-20T09:45:00+00:00,long
2026-08-20T16:00:00+00:00,long
2026-08-20T22:00:00+00:00,long
2026-08-21T06:00:00+00:00,long
2026-08-21T19:30:00+00:00,long
2026-08-22T03:45:00+00:00,long
2026-08-22T09:45:00+00:00,long
