asset,t,direction,entry,risk,R,R18,cost_R,kind,exit_bar_ts,exit_price,missing,max_consecutive_missing,in_on_R1,in_on_R2,z_R1,z_R2,entry_ts,entry_day
BTC,2023-04-11T14:30:00+00:00,long,30000.8,513.2517485839006,1.087379052365314,1.0406171269238136,0.05845240680187533,tif,2023-04-14T14:30:00+00:00,30588.9,0,0,False,False,-1.0538001892039388,-0.5538156963914023,1681224300,2023-04-11
BTC,2023-06-01T04:30:00+00:00,short,26810.7,431.20132738420205,-1.0621767566501752,-1.1119181619703153,0.062176756650175066,stop,2023-06-02T12:30:00+00:00,27241.901327384203,0,0,True,False,-0.507330015857988,1.8936719147775642,1685594700,2023-06-01
BTC,2023-06-01T18:00:00+00:00,short,26992.3,444.3986187225972,-0.5179860834439082,-0.5665772335741008,0.06073893766274092,tif,2023-06-04T18:00:00+00:00,27195.5,0,0,False,False,0.6646511052827888,1.4367455075151685,1685643300,2023-06-01
BTC,2023-06-15T08:00:00+00:00,short,25010.3,353.6504588873988,-1.070720394591548,-1.1272967102647888,0.0707203945915512,stop,2023-06-15T18:45:00+00:00,25363.950458887397,0,0,True,True,-0.8076525177221529,-0.03308353071162406,1686816900,2023-06-15
BTC,2023-06-17T14:15:00+00:00,long,26458.9,294.3391462836299,0.5899354611590645,0.5180214114403667,0.08989256214837216,tif,2023-06-20T14:15:00+00:00,26659.0,0,0,True,True,0.30879014864466076,1.4878338014908694,1687012200,2023-06-17
BTC,2023-06-20T19:00:00+00:00,long,27892.2,873.3633856500082,3.400311770328874,3.374762542634387,0.03193653461810858,tif,2023-06-23T19:00:00+00:00,30889.8,0,0,False,False,-0.48103359056775763,-0.14210889987921996,1687288500,2023-06-20
BTC,2023-06-21T17:00:00+00:00,long,29974.4,1453.1706068348326,0.38861617303836904,0.3721146556754284,0.02062689670367582,tif,2023-06-24T17:00:00+00:00,30569.1,0,0,True,True,2.4537249486234,1.2224561548517507,1687367700,2023-06-21
BTC,2023-06-21T23:45:00+00:00,long,29988.5,781.2360719919218,0.6473222603643806,0.6166134888929986,0.0383859643392274,tif,2023-06-24T23:45:00+00:00,30524.2,0,0,True,True,1.189447715880641,2.588515418589983,1687392000,2023-06-22
BTC,2023-06-22T07:15:00+00:00,long,30051.9,542.3713457481496,-1.0554083475013722,-1.0997350255024694,0.05540834750137154,stop,2023-06-22T14:30:00+00:00,29509.52865425185,0,0,False,False,-0.6732570728021944,-0.6206299236745023,1687419000,2023-06-22
BTC,2023-06-22T13:30:00+00:00,long,30187.2,579.1329187947139,-1.0521248214707317,-1.0938246786473196,0.05212482147073477,stop,2023-06-22T14:30:00+00:00,29608.06708120529,0,0,True,False,2.1424566245517913,-0.027150253470244246,1687441500,2023-06-22
BTC,2023-08-09T05:30:00+00:00,long,29728.5,257.48528246784895,-1.115457084440204,-1.2078227519923666,0.11545708444020317,stop,2023-08-09T17:00:00+00:00,29471.01471753215,0,0,False,False,-0.3182314477576616,-0.585079923530157,1691559900,2023-08-09
BTC,2023-08-17T03:15:00+00:00,short,28628.3,422.33842350759744,5.932214786989454,5.877986616581018,0.06778521301054438,target,2023-08-17T21:30:00+00:00,26094.269458954415,0,0,False,False,0.055994199564781154,0.677352961504307,1692243000,2023-08-17
BTC,2023-08-17T09:15:00+00:00,short,28566.3,237.34131768707005,5.8796404255340695,5.783352765961322,0.12035957446593482,target,2023-08-17T21:30:00+00:00,27142.252093877578,0,0,False,True,0.5941748657357884,-0.4133438284786174,1692264600,2023-08-17
BTC,2023-08-18T00:00:00+00:00,short,26766.6,1854.5844333150021,0.3340011858574605,0.3224550520630964,0.014432667242955166,tif,2023-08-21T00:00:00+00:00,26120.4,0,0,True,True,-1.0659546710394867,-2.5444690298775443,1692317700,2023-08-18
BTC,2023-08-18T19:45:00+00:00,short,26053.4,752.0493883422465,-0.07825736037061434,-0.10597192316807091,0.03464320349682073,tif,2023-08-21T19:45:00+00:00,26086.2,0,0,True,True,-0.24851304257690834,-0.26277695628240666,1692388800,2023-08-18
BTC,2023-09-13T10:15:00+00:00,long,26087.1,395.24352310855187,1.0001755294834536,0.9473734498039131,0.06600259959942542,tif,2023-09-16T10:15:00+00:00,26508.5,0,0,False,True,-1.6586985477855374,0.47030129035387774,1694601000,2023-09-13
BTC,2023-09-19T05:30:00+00:00,long,26809.1,211.44797366213254,-1.1267881622873221,-1.2282186921171803,0.1267881622873227,stop,2023-09-21T12:30:00+00:00,26597.652026337866,0,0,False,True,-0.8676924532530162,0.6499111403942877,1695102300,2023-09-19
BTC,2023-09-29T02:00:00+00:00,long,27015.0,391.37019512299753,2.274534471691792,2.2193130974805855,0.06902671776400829,tif,2023-10-02T02:00:00+00:00,27932.2,0,0,True,False,1.3959527494630541,-0.4698613334535241,1695953700,2023-09-29
BTC,2023-09-29T08:15:00+00:00,long,27093.7,310.60020322533063,-1.0872301425390396,-1.1570142565702706,0.08723014253903877,stop,2023-09-29T14:00:00+00:00,26783.09979677467,0,0,False,False,-0.41037027290775574,-0.5010163341015302,1695976200,2023-09-29
BTC,2023-10-03T03:00:00+00:00,long,27564.4,427.6176045055464,-1.0644603957123642,-1.116028712282254,0.0644603957123624,stop,2023-10-03T20:00:00+00:00,27136.782395494454,0,0,True,False,0.010977946863412186,-0.48205200462492864,1696302900,2023-10-03
BTC,2023-10-07T05:45:00+00:00,long,27889.0,219.24245131127716,-1.1272062040594717,-1.2289711673070451,0.12720620405946664,stop,2023-10-09T09:30:00+00:00,27669.75754868872,0,0,True,False,0.1277960133558637,-0.7575000138529532,1696658400,2023-10-07
BTC,2023-10-07T11:45:00+00:00,long,27929.4,187.02234029932094,-1.1493372393656331,-1.2688070308581372,0.14933723936563,stop,2023-10-08T13:00:00+00:00,27742.37765970068,0,0,True,False,1.6738950808277169,-1.0182057189792433,1696680000,2023-10-07
BTC,2023-10-07T18:30:00+00:00,long,27875.9,160.36114314889863,-1.1738320110010385,-1.3128976198018771,0.17383201100104814,stop,2023-10-08T13:00:00+00:00,27715.538856851104,0,0,False,False,-1.20972694988813,-0.2388672687374034,1696704300,2023-10-07
BTC,2023-10-18T06:30:00+00:00,long,28648.4,494.28865956960414,-1.0579588453939945,-1.104325921709191,0.05795884539399558,stop,2023-10-18T14:30:00+00:00,28154.111340430398,0,0,False,False,-0.08145576390456655,-0.9881408937999847,1697611500,2023-10-18
