arm,fill_mode,direction,filled,r,kind
d0.8,through,short,True,2.850856981901664,target
d1.0,touch,short,False,,
d1.0,through,short,False,,
d0.0,touch,short,True,-1.014868360886001,stop
d0.2,touch,short,True,-1.0183526288104654,stop
d0.2,through,short,True,-1.0183526288104654,stop
d0.4,touch,short,True,-1.0237974961921787,stop
d0.4,through,short,True,-1.0237974961921787,stop
d0.6,touch,short,True,-1.0335056781204235,stop
d0.6,through,short,True,-1.0335056781204235,stop
d0.8,touch,short,False,,
d0.8,through,short,False,,
d1.0,touch,short,False,,
d1.0,through,short,False,,
d0.0,touch,short,True,-1.0189870379755335,stop
d0.2,touch,short,True,-1.0231867110429052,stop
d0.2,through,short,True,-1.0231867110429052,stop
d0.4,touch,short,True,-1.0296207346780135,stop
d0.4,through,short,True,-1.0296207346780135,stop
d0.6,touch,short,True,-1.0407184646226189,stop
d0.6,through,short,True,-1.0407184646226189,stop
d0.8,touch,short,False,,
d0.8,through,short,False,,
d1.0,touch,short,False,,
d1.0,through,short,False,,
d0.0,touch,short,True,-1.0273611429798952,stop
d0.2,touch,short,True,-1.0330916442199118,stop
d0.2,through,short,True,-1.0330916442199118,stop
d0.4,touch,short,True,-1.0417242853850168,stop
d0.4,through,short,True,-1.0417242853850168,stop
d0.6,touch,short,False,,
d0.6,through,short,False,,
d0.8,touch,short,False,,
d0.8,through,short,False,,
d1.0,touch,short,False,,
d1.0,through,short,False,,
d0.0,touch,long,True,2.9074755524964404,target
d0.2,touch,long,True,2.897621395909249,target
d0.2,through,long,True,2.897621395909249,target
d0.4,touch,long,True,2.885389277863727,target
d0.4,through,long,True,2.885389277863727,target
d0.6,touch,long,True,2.8698003317811773,target
d0.6,through,long,True,2.8698003317811773,target
d0.8,touch,long,True,2.8492529927833337,target
d0.8,through,long,True,2.8492529927833337,target
d1.0,touch,long,True,2.8209342025350774,target
d1.0,through,long,True,2.8209342025350774,target
d0.0,touch,long,True,-1.1902779992376429,stop
d0.2,touch,long,True,-1.2169094344213127,stop
d0.2,through,long,True,-1.2169094344213127,stop
d0.4,touch,long,True,-1.2522620294286537,stop
d0.4,through,long,True,-1.2522620294286537,stop
d0.6,touch,long,True,-1.3014585306298365,stop
d0.6,through,long,True,-1.3014585306298365,stop
d0.8,touch,long,True,-1.3746105847813037,stop
d0.8,through,long,True,-1.3746105847813037,stop
d1.0,touch,long,True,-1.494846409791223,stop
d1.0,through,long,True,-1.494846409791223,stop
d0.0,touch,long,True,1.0354394197687316,tif
d0.2,touch,long,True,0.637810989025229,tif
d0.2,through,long,True,0.637810989025229,tif
d0.4,touch,long,False,,
d0.4,through,long,False,,
d0.6,touch,long,False,,
d0.6,through,long,False,,
d0.8,touch,long,False,,
d0.8,through,long,False,,
