ts,dir,era,has_zone,in_zone,poc_dist_atr,side,shallow_of_poc,bid_depth
2026-03-30 11:15:00+00:00,long,2026,True,False,5.276592422980945,above_zone,True,0.3281103596708535
2026-03-30 14:44:00+00:00,long,2026,True,False,3.0259013552659346,above_zone,True,0.44063876891564835
2026-03-30 17:57:00+00:00,long,2026,True,False,1.3790085111086694,above_zone,True,0.701755560278249
2026-03-31 08:10:00+00:00,long,2026,True,True,0.42481902417832584,in_zone,True,0.9527059998251236
2026-03-31 11:46:00+00:00,short,2026,True,True,0.3072390448957588,in_zone,True,0.9635630651742119
2026-03-31 13:00:00+00:00,short,2026,True,False,-1.2428395094855742,below_zone,False,1.1962055907933034
2026-04-02 17:39:00+00:00,short,2026,True,False,3.6741730513953037,above_zone,True,0.5056903755598594
2026-04-03 14:42:00+00:00,short,2026,True,False,-23.39053545038379,below_zone,False,4.866406343678526
2026-04-09 15:12:00+00:00,long,2026,True,True,-1.8227548708442156,in_zone,False,1.3774566601466705
2026-04-09 18:16:00+00:00,long,2026,True,True,-1.2184182168282938,in_zone,False,1.4003819740745171
2026-04-09 20:16:00+00:00,long,2026,True,True,0.30280547760956616,in_zone,True,0.9239986839598836
2026-04-14 18:15:00+00:00,short,2026,True,False,-3.043859440850055,below_zone,False,1.2778433075554811
2026-04-15 10:25:00+00:00,short,2026,True,False,-5.335161969253265,below_zone,False,1.2822392219652479
2026-04-17 13:51:00+00:00,short,2026,True,False,-2.7750501705799744,below_zone,False,1.8088521094939303
2026-04-17 20:22:00+00:00,short,2026,True,False,-7.50410809632772,below_zone,False,2.6304549587090023
2026-04-18 11:15:00+00:00,short,2026,True,True,-0.10172260465734725,in_zone,False,1.0057366647249761
2026-04-19 10:21:00+00:00,short,2026,True,False,-2.621487622826951,below_zone,False,1.3508923967248934
2026-04-19 10:29:00+00:00,short,2026,True,False,-2.621487622826951,below_zone,False,1.3508923967248934
2026-04-20 00:11:00+00:00,short,2026,True,True,-0.6670076631202603,in_zone,False,1.1010114951594072
2026-04-20 01:06:00+00:00,short,2026,True,True,0.2512613457735626,in_zone,True,0.9627803957910206
2026-04-21 20:18:00+00:00,short,2026,True,True,-1.1268002175171403,in_zone,False,1.2280584032308155
2026-04-22 10:02:00+00:00,short,2026,True,False,-11.690172110994094,below_zone,False,3.1162227602905603
2026-04-23 11:47:00+00:00,short,2026,True,True,-0.33085376893790563,in_zone,False,1.027667645356938
2026-04-23 12:06:00+00:00,short,2026,True,True,-0.9789955114254442,in_zone,False,1.0801311587835647
2026-04-25 19:41:00+00:00,short,2026,True,False,-3.2599526066349607,below_zone,False,1.6877468379742646
2026-04-27 10:10:00+00:00,short,2026,True,False,-1.6037756544630297,below_zone,False,1.2690760752880588
2026-04-27 18:25:00+00:00,short,2026,True,True,0.1457542059104577,in_zone,True,0.9721456232647536
2026-04-28 10:21:00+00:00,short,2026,True,True,-0.12279946793208905,in_zone,False,1.0122721372914043
2026-04-29 18:14:00+00:00,short,2026,True,False,-2.166082677427491,below_zone,False,1.3939659579446513
2026-04-29 21:11:00+00:00,short,2026,True,False,-1.968899440518231,below_zone,False,1.3239217627873843
2026-05-04 13:19:00+00:00,short,2026,True,True,0.08025387009501975,in_zone,True,0.9567446429667724
2026-05-07 18:19:00+00:00,short,2026,True,False,2.551678859501012,above_zone,True,0.5383022774327143
2026-05-18 11:15:00+00:00,short,2026,True,False,-2.5584366242724563,below_zone,False,1.2077455243299664
2026-05-18 17:43:00+00:00,long,2026,True,False,-1.5605739164772545,below_zone,False,1.2799498058899599
