variant,n,traded_n,mean_r,total_r,max_dd_r,mar_like,wr_pct,is_total_r,oos_total_r,scope
wick_p3|tilt=none|H=on,143,143,0.835442618763791,119.46829448322211,-4.0,29.867073620805527,61.53846153846154,92.50573073504093,26.962563748181175,ETH
wick_p3|tilt=skip_after_loss|H=off,143,88,1.4394453775670757,126.67119322590267,-4.0,31.667798306475667,64.77272727272727,109.40395670927775,17.267236516624926,ETH
wick_p3|tilt=skip_after_loss|H=on,143,88,0.9487584239505289,83.49074130764654,-3.0,27.83024710254885,64.77272727272727,66.73527956414237,16.755461743504156,ETH
wick_p3|tilt=half_after_loss|H=off,143,143,1.0724236892621026,153.35658756448066,-2.5,61.34263502579226,61.53846153846154,128.28149954255744,25.07508802192323,ETH
wick_p3|tilt=half_after_loss|H=on,143,143,0.7096469782897505,101.47951789543433,-2.5,40.59180715817373,61.53846153846154,79.62050514959166,21.859012745842662,ETH
wick_p3|tilt=half_after_2stops_7d|H=off,143,143,1.2618094217026388,180.43874730347733,-4.0,45.10968682586933,61.53846153846154,146.5558077762558,33.88293952722154,ETH
wick_p3|tilt=half_after_2stops_7d|H=on,143,143,0.8403264138701498,120.16667718343143,-4.0,30.041669295857858,61.53846153846154,92.20411343525025,27.962563748181175,ETH
base|tilt=none|H=off,333,333,1.6631500362656946,553.8289620764763,-8.0,69.22862025955953,58.85885885885885,428.0037560577656,125.82520601871055,COMBINED
base|tilt=none|H=on,333,333,1.211571723241551,403.45338383943647,-6.363542792736268,63.40074970501691,58.85885885885885,299.4293837077812,104.02400013165531,COMBINED
base|tilt=skip_after_loss|H=off,333,196,2.1147510694274128,414.4912096077729,-3.1843053500998337,130.16691681115879,68.87755102040816,313.39358463386077,101.09762497391209,COMBINED
base|tilt=skip_after_loss|H=on,333,196,1.5012592894546382,294.246820733109,-2.0921526750499027,140.64309179830317,68.87755102040816,213.04546006089032,81.20136067221873,COMBINED
base|tilt=half_after_loss|H=off,333,333,1.4539341917180915,484.1600858421245,-4.5,107.59113018713877,58.85885885885885,370.6986703458132,113.46141549631132,COMBINED
base|tilt=half_after_loss|H=on,333,333,1.047597904763582,348.8501022862728,-3.681771396368134,94.75061450865589,58.85885885885885,256.23742188433573,92.612680401937,COMBINED
base|tilt=half_after_2stops_7d|H=off,333,333,1.6291377747985412,542.5028790079142,-6.0,90.41714650131904,58.85885885885885,414.17767298920364,128.32520601871053,COMBINED
base|tilt=half_after_2stops_7d|H=on,333,333,1.1918216339966288,396.87660412087735,-4.681771396368134,84.77060721690786,58.85885885885885,290.852603989222,106.02400013165531,COMBINED
wick_p0.5|tilt=none|H=off,333,333,0.36582976616511614,121.82131213298368,-4.254026871796562,28.636704892636484,80.18018018018019,78.55739782171433,43.26391431126935,COMBINED
wick_p0.5|tilt=none|H=on,333,333,0.26278782102586873,87.5083444016143,-3.9049145657005724,22.409797430719106,80.18018018018019,52.842657798198445,34.66568660341586,COMBINED
wick_p0.5|tilt=skip_after_loss|H=off,333,267,0.40908469899844474,109.22561463258474,-2.555802259604583,42.736332289448484,82.77153558052434,71.26391152410847,37.96170310847628,COMBINED
wick_p0.5|tilt=skip_after_loss|H=on,333,267,0.28537947664736846,76.19632026484737,-2.8094428309119603,27.121505882400758,82.77153558052434,47.05106575046342,29.145254514383947,COMBINED
wick_p0.5|tilt=half_after_loss|H=off,333,333,0.34691730745580845,115.52346338278421,-3.4049145657005724,33.92844700025972,80.18018018018019,74.9106546729114,40.612808709872816,COMBINED
wick_p0.5|tilt=half_after_loss|H=on,333,333,0.245802799799492,81.85233233323083,-3.2303584126525813,25.338467710775934,80.18018018018019,49.94686177433093,31.9054705588999,COMBINED
wick_p0.5|tilt=half_after_2stops_7d|H=off,333,333,0.3645274583678665,121.38764363649955,-3.7540268717965617,32.33531559096357,80.18018018018019,78.1237293252302,43.26391431126935,COMBINED
wick_p0.5|tilt=half_after_2stops_7d|H=on,333,333,0.2618709912945057,87.2030401010704,-3.4049145657005724,25.610933378332238,80.18018018018019,52.537353497654564,34.66568660341586,COMBINED
