expiry,call_inst,call_mark,entry,expiry_ts,hedge_costs_pct,hedge_pnl_pct,iv_call,iv_put,n_calls,n_puts,n_rebal,n_skip,naked_pnl_pct,pnl_pct,put_inst,put_mark,raw_premium_pct,split,spot_entry,spot_expiry,status,strike_call,strike_put,terminal
2025-08-01,,,2025-07-11,1754035200,,,,,18,21,,,,,,,,,117500.0,,no_pair,,,
2025-08-08,BTC-8AUG25-130000-C,911.28050475,2025-07-18,1754640000,0.01464440570487986,-0.36695098333948334,0.39087394883390525,0.38821114895399667,16,15,3,0,1.2349640385541882,0.7563197283531994,BTC-8AUG25-105000-P,544.697638,1.2349640385541882,TRAIN,117896.4,116772.0,ok,130000.0,105000.0,0.0
2025-08-15,BTC-15AUG25-129000-C,978.02341761,2025-07-25,1755244800,0.01652824431074921,-0.5402591074470992,0.3872709806310013,0.4019038245081902,18,19,3,0,1.5055078533297617,0.8435552659720202,BTC-15AUG25-106000-P,792.20540911,1.5055078533297617,TRAIN,117583.5,118908.3,ok,129000.0,106000.0,0.0
2025-08-22,BTC-22AUG25-125000-C,647.045817,2025-08-01,1755849600,0.011392159228173193,-0.008563253219845631,0.3575184511952102,0.4040469292085618,21,20,3,0,1.0126235562250983,0.9022894370903266,BTC-22AUG25-100000-P,499.697704,1.0126235562250983,TRAIN,113244.8,113040.1,ok,125000.0,100000.0,0.0
2025-08-23,,,2025-08-02,1755936000,,,,,5,7,,,,,,,,,112508.8,,no_pair,,,
2025-08-26,,,2025-08-05,1756195200,,,,,5,6,,,,,,,,,114069.6,,no_pair,,,
2025-08-29,BTC-29AUG25-128000-C,610.261288,2025-08-08,1756454400,0.0038927238213887407,-0.07934234241922151,0.3342171105323358,0.3473742392612621,35,31,3,0,0.9250654713011092,0.7540784409214657,BTC-29AUG25-105000-P,468.62592,0.9250654713011092,TRAIN,116628.2,109969.0,ok,128000.0,105000.0,0.0
2025-09-05,BTC-5SEP25-130000-C,506.70040075,2025-08-15,1757059200,0.024725197716274707,-1.0597888152687756,0.33948173089884215,0.38665620554238556,21,17,3,0,0.944707583661539,-0.22814765683335758,BTC-5SEP25-105000-P,601.244151,0.944707583661539,TRAIN,117279.1,112900.1,ok,130000.0,105000.0,0.0
2025-09-06,,,2025-08-16,1757145600,,,,,6,7,,,,,,,,,117329.7,,no_pair,,,
2025-09-12,BTC-12SEP25-130000-C,540.53650882,2025-08-22,1757664000,0.029634301715635778,-1.25199741971871,0.3536557690938935,0.35301564335823066,17,16,3,0,0.8642972080840052,-0.5032634295928606,BTC-12SEP25-105000-P,469.80532,0.8642972080840052,TRAIN,116897.5,115049.0,ok,130000.0,105000.0,0.0
2025-09-19,BTC-19SEP25-120000-C,631.941407,2025-08-29,1758268800,0.023435430652785666,0.4153298422272529,0.36848668132442985,0.4057041418971493,13,18,3,0,1.327291659089671,1.6193673208914485,BTC-19SEP25-98000-P,805.944175,1.327291659089671,TRAIN,108332.3,116850.1,ok,120000.0,98000.0,0.0
2025-09-26,BTC-26SEP25-122000-C,543.596886,2025-09-05,1758873600,0.021334685162518838,-0.47267711554037917,0.33996313503012054,0.39963475489057604,49,35,3,0,1.1932724578696,0.603462483430614,BTC-26SEP25-100000-P,776.34025,1.1932724578696,TRAIN,110614.9,109257.3,ok,122000.0,100000.0,0.0
2025-10-03,BTC-3OCT25-130000-C,361.3784638,2025-09-12,1759478400,0.016911920523926316,-1.2037124840284175,0.33608502079732716,0.34748207516968255,15,17,3,0,0.7743633060983771,-0.5294919976369181,BTC-3OCT25-105000-P,536.7157088,0.7743633060983771,TEST,115978.4,119620.1,ok,130000.0,105000.0,0.0
2025-10-08,,,2025-09-17,1759910400,,,,,5,5,,,,,,,,,116402.5,,no_pair,,,
2025-10-10,BTC-10OCT25-126000-C,557.34426,2025-09-19,1760083200,0.04870416846100296,-2.7490132801889535,0.30998989960644385,0.3612179168965667,21,23,3,0,1.0543867207611004,-1.8349623295116888,BTC-10OCT25-105000-P,661.20520125,1.0543867207611004,TEST,115569.5,120886.1,ok,126000.0,105000.0,0.0
2025-10-11,,,2025-09-20,1760169600,,,,,12,11,,,,,,,,,115624.9,,no_pair,,,
2025-10-12,,,2025-09-21,1760256000,,,,,11,8,,,,,,,,,115183.9,,no_pair,,,
2025-10-13,,,2025-09-22,1760342400,,,,,10,6,,,,,,,,,112604.7,,no_pair,,,
2025-10-14,,,2025-09-23,1760428800,,,,,10,6,,,,,,,,,111947.0,,no_pair,,,
2025-10-15,,,2025-09-24,1760515200,,,,,6,5,,,,,,,,,113253.9,,no_pair,,,
2025-10-17,BTC-17OCT25-120000-C,582.963483,2025-09-26,1760688000,0.06330588365725369,-5.629185396253987,0.33024600013159205,0.3982369380071759,26,27,3,0,1.084056760517755,-4.700956222209017,BTC-17OCT25-98000-P,605.03806,1.084056760517755,TEST,109588.5,105578.3,ok,120000.0,98000.0,0.0
2025-10-18,,,2025-09-27,1760774400,,,,,7,8,,,,,,,,,109577.3,,no_pair,,,
