symbol,time_utc,price,field,inside_bar,dist_to_range_pct,dist_to_close_pct
BTCUSDT,2026-08-07 09:32:02+00:00,64800.0,entry_price,True,0.0,0.12037037037037038
BTCUSDT,2026-08-07 14:10:18+00:00,65300.0,entry_price,False,0.4287901990811639,0.7566615620214373
BTCUSDT,2026-08-07 18:21:52+00:00,65300.0,entry_price,False,0.6986217457886632,0.790505359877484
BTCUSDT,2026-08-10 13:59:01+00:00,65024.1,entry_price,False,0.5599462353189026,0.7541819110145338
BTCUSDT,2026-08-10 13:59:01+00:00,64504.5,price_ref,True,0.0,0.045268159585760824
BTCUSDT,2026-08-10 16:21:18+00:00,64060.0,price_ref,True,0.0,0.06244146113019045
BTCUSDT,2026-08-10 16:23:17+00:00,63960.0,entry_price,True,0.0,0.2188868042526579
BTCUSDT,2026-08-11 20:24:28+00:00,63500.0,entry_price,False,0.11968503937007874,0.2387401574803127
BTCUSDT,2026-08-12 12:15:55+00:00,63800.0,entry_price,False,0.6620689655172436,0.9181818181818227
BTCUSDT,2026-08-17 14:03:39+00:00,63800.0,entry_price,False,0.1463949843260211,0.20438871473354459
BTCUSDT,2026-08-17 15:49:32+00:00,63797.1,entry_price,False,0.3982939663401605,0.5843525802897043
BTCUSDT,2026-08-17 15:49:32+00:00,64144.9,price_ref,True,0.0,0.03897425983983138
BTCUSDT,2026-08-17 15:56:16+00:00,64200.0,entry_price,False,0.00015576323987312275,0.046884735202489945
BTCUSDT,2026-08-18 13:37:17+00:00,64300.0,entry_price,False,0.12052877138413685,0.2177293934681182
BTCUSDT,2026-08-19 15:56:39+00:00,63000.0,price_ref,False,8.26015873015872,8.767777777777773
BTCUSDT,2026-08-20 01:34:21+00:00,69280.0,entry_price,True,0.0,0.4783487297921394
BTCUSDT,2026-08-20 01:51:14+00:00,71000.0,price_ref,False,1.5945070422535295,1.8430985915493039
BTCUSDT,2026-08-20 02:02:49+00:00,70000.0,price_ref,False,0.2857142857142857,0.4845714285714244
BTCUSDT,2026-08-20 07:13:39+00:00,69907.6,price_ref,True,0.0,0.2022669924300201
BTCUSDT,2026-08-20 07:13:39+00:00,69111.2,entry_price,False,0.8918959589762712,0.9477479771730197
BTCUSDT,2026-08-20 08:18:35+00:00,70999.5,price_ref,False,0.0012676145606577219,0.4601440855217249
BTCUSDT,2026-08-20 08:18:35+00:00,69220.4,entry_price,False,2.5714962641071133,3.042166760088071
BTCUSDT,2026-08-20 10:19:46+00:00,72400.0,entry_price,True,0.0,0.5296961325966851
BTCUSDT,2026-08-21 01:47:22+00:00,75000.0,price_ref,True,0.0,0.1377333333333372
BTCUSDT,2026-08-21 01:56:15+00:00,63000.0,entry_price,False,18.532222222222227,19.211587301587308
BTCUSDT,2026-08-21 10:32:36+00:00,80000.0,price_ref,False,2.5524999999999998,2.7128750000000035
BTCUSDT,2026-08-21 14:58:07+00:00,77300.0,entry_price,True,0.0,0.11345407503233777
BTWUSDT,2026-07-27 10:22:01+00:00,0.095,entry_price,False,0.5789473684210473,1.9999999999999991
DEXEUSDT,2026-06-03 11:15:43+00:00,21.53,entry_price,False,0.09289363678587818,0.24616813748256977
DEXEUSDT,2026-06-03 15:11:49+00:00,19.54,card_mark_price,True,0.0,0.5373592630501557
DEXEUSDT,2026-06-03 15:11:49+00:00,19.54,price_ref,True,0.0,0.5373592630501557
DEXEUSDT,2026-06-03 15:11:49+00:00,21.506,entry_price,False,6.230819306240119,8.653399051427511
DEXEUSDT,2026-06-03 16:06:17+00:00,21.506,entry_price,False,12.391890635171576,14.600576583279087
DEXEUSDT,2026-06-03 16:06:17+00:00,18.618,price_ref,True,0.0,1.3535288430551022
DEXEUSDT,2026-06-03 16:06:17+00:00,18.618,card_mark_price,True,0.0,1.3535288430551022
DEXEUSDT,2026-06-03 16:47:24+00:00,18.53,price_ref,True,0.0,2.655153804641127
DEXEUSDT,2026-06-03 16:47:24+00:00,21.506,entry_price,False,13.377662047800609,16.12573235376174
DEXEUSDT,2026-06-03 17:41:29+00:00,17.464,price_ref,True,0.0,0.08016491067338151
DEXEUSDT,2026-06-05 03:54:21+00:00,20.63,entry_price,True,0.0,0.5768298594280163
DEXEUSDT,2026-06-06 08:48:44+00:00,20.63,entry_price,False,3.916626272418807,5.055744062045561
DEXEUSDT,2026-06-08 02:39:15+00:00,20.382,card_mark_price,True,0.0,0.01962515945442712
DEXEUSDT,2026-06-08 02:39:15+00:00,20.382,price_ref,True,0.0,0.01962515945442712
EDUUSDT,2026-07-25 10:36:06+00:00,0.0337,entry_price,True,0.0,0.11869436201779932
