ts,sleeve,r_outcome,exit_kind,cum_R
2024-11-18 14:00:00+00:00,OI_FLUSH_bull,1.410000000000008,target,30.195655750352614
2024-11-19 22:00:00+00:00,OI_FLUSH_bull,1.4100000000000077,target,31.60565575035262
2024-11-21 15:00:00+00:00,OI_FLUSH_bull,1.4099999999999966,target,33.01565575035262
2024-11-23 00:00:00+00:00,OI_FLUSH_bull,-1.0900000000000003,stop,31.92565575035262
2024-11-26 18:00:00+00:00,OI_FLUSH_bull,1.4099999999999924,target,33.335655750352615
2024-12-05 16:00:00+00:00,OI_FLUSH_bull,-1.09,stop,32.24565575035261
2024-12-12 20:00:00+00:00,OI_FLUSH_bull,0.2784265267099245,tif,32.52408227706253
2024-12-16 04:00:00+00:00,OI_FLUSH_bull,1.4100000000000037,target,33.93408227706254
2024-12-18 00:00:00+00:00,OI_FLUSH_bull,-1.0900000000000003,stop,32.84408227706253
2025-02-11 20:30:00+00:00,FUNDING_CVD,1.5715679780635432,tif,34.415650255126074
2025-04-28 16:00:00+00:00,OI_FLUSH_bull,0.0287585065784206,tif,34.444408761704494
2025-05-01 20:00:00+00:00,OI_FLUSH_bull,-0.112004346896457,tif,34.33240441480804
2025-05-05 01:00:00+00:00,OI_FLUSH_bull,1.4100000000000004,target,35.74240441480804
2025-05-07 04:00:00+00:00,OI_FLUSH_bull,1.4100000000000072,target,37.152404414808046
2025-05-18 20:00:00+00:00,OI_FLUSH_bull,1.410000000000007,target,38.56240441480805
2025-05-20 13:00:00+00:00,OI_FLUSH_bull,1.41,target,39.97240441480805
2025-05-21 20:00:00+00:00,OI_FLUSH_bull,1.41,target,41.38240441480804
2025-05-23 12:00:00+00:00,OI_FLUSH_bull,-0.5164716870954295,tif,40.86593272771261
2025-07-31 07:15:00+00:00,FUNDING_CVD,-1.2574862843715784,stop,39.60844644334103
2025-10-05 11:00:00+00:00,OI_FLUSH_bull,0.308660759140838,tif,39.917107202481866
2026-02-05 21:45:00+00:00,FUNDING_CVD,1.4465732336309651,tif,41.36368043611283
2026-02-06 22:45:00+00:00,FUNDING_CVD,-1.0448673314383317,stop,40.3188131046745
2026-04-21 19:00:00+00:00,OI_FLUSH_bull,1.41,target,41.728813104674494
2026-04-23 10:00:00+00:00,OI_FLUSH_bull,0.1597321067333363,tif,41.88854521140783
2026-04-27 05:00:00+00:00,OI_FLUSH_bull,-1.0899999999999994,stop,40.798545211407834
2026-04-29 18:00:00+00:00,OI_FLUSH_bull,1.41,target,42.20854521140783
2026-05-04 10:00:00+00:00,OI_FLUSH_bull,1.409999999999991,target,43.61854521140782
2026-05-06 14:00:00+00:00,OI_FLUSH_bull,-1.09,stop,42.52854521140782
2026-05-07 17:00:00+00:00,OI_FLUSH_bull,0.3551409248588096,tif,42.883686136266626
2026-05-11 03:00:00+00:00,OI_FLUSH_bull,0.2344998971415327,tif,43.11818603340816
2026-06-05 20:30:00+00:00,FUNDING_CVD,0.6782042464888867,tif,43.79639027989705
2026-06-17 13:15:00+00:00,FUNDING_CVD,-1.1268456364993975,stop,42.66954464339765
2026-08-21 12:00:00+00:00,OI_FLUSH_bull,-1.0899999999999996,stop,41.579544643397654
2026-09-04 14:00:00+00:00,OI_FLUSH_bull,0.3114630930344627,tif,41.891007736432115
