fid,bar_ts,entry_ts,i0,entry,entry_close_on_path,P0,OI_E,OI_0,ledger_px_chg_4h,ledger_oi_chg_4h,shape,S,T,C,hours_to_spike,hours_to_top,hours_spike_to_top,top_runup_pct,top_after_48h,fall_24h_after_top_pct,n_false_tops,max_pct_7d,min_pct_7d,first_PR_ge_1_min
BTC:1702558800,1702558800,1702562400,2078760,42564.7,42564.7,42898.0,76536.584,79290.934,-0.0077695929880181,-0.0349296858324187,spike_reversal,228,228,796,3.8,3.8,0.0,2.0801274295366934,False,-4.101486532827314,0.0,4.275608661637453,-4.7243373029764,211
BTC:1703102400,1703102400,1703106000,2087820,43481.7,43481.7,43725.9,79708.324,81478.137,-0.005584790707567,-0.0219566009016037,spike_reversal,2014,2015,2097,33.56666666666667,33.583333333333336,0.016666666666666666,2.305107665983619,False,-2.6521895512993554,0.0,2.305107665983619,-4.334467143648935,12
BTC:1703235600,1703235600,1703239200,2090040,43782.2,43782.2,44172.5,79874.849,82116.541,-0.0088358141377554,-0.0272187579501363,no_spike,-1,-1,-1,,,,,,,,0.6938892974770683,-4.991069430042339,-1
BTC:1704279600,1704279600,1704283200,2107440,43728.9,43728.9,45030.4,74874.956,80396.836,-0.0289026968447981,-0.068569266180293,spike_reversal,1958,1958,2237,32.63333333333333,32.63333333333333,0.0,2.5427120279723603,False,-5.666268220013926,0.0,9.995906597238902,-7.765802478452466,7212
BTC:1705096800,1705096800,1705100400,2121060,42517.9,42517.9,43510.1,75522.386,82904.583,-0.0228039007035147,-0.0891938067976174,spike_reversal,4064,4064,4274,67.73333333333333,67.73333333333333,0.0,2.018208801469501,True,-3.0569900405754358,0.0,2.5191742771867753,-5.216391214053373,5673
BTC:1707829200,1707829200,1707832800,2166600,49543.2,49543.2,50237.7,91769.666,93796.514,-0.0138242793758471,-0.0216891615079277,spike_reversal,1137,2914,2973,18.95,48.56666666666667,29.616666666666667,6.692744917566906,True,-2.88333112620367,4.0,7.160821263059325,-2.5073067545091865,1135
BTC:1707933600,1707933600,1707937200,2168340,51471.7,51471.7,51939.9,90818.495,92881.553,-0.0090142645634666,-0.022200125507074,spike_reversal,337,1174,1233,5.616666666666666,19.566666666666666,13.95,2.6952674965077916,False,-2.88333112620367,1.0,3.145806336297441,-1.8326575574538984,317
BTC:1708020000,1708020000,1708023600,2169780,52003.9,52003.9,52644.5,89306.814,91264.965,-0.0121684126546932,-0.0214864621550842,spike_reversal,6880,6880,6913,114.66666666666667,114.66666666666667,0.0,2.090227848296,True,-4.826627538806083,0.0,2.090227848296,-2.8372872034597374,6874
BTC:1708448400,1708448400,1708452000,2176920,51346.4,51346.4,52890.0,88674.074,90872.213,-0.029185101153337,-0.0242303223883877,spike_reversal,305,317,788,5.083333333333333,5.283333333333333,0.2,2.3670598133462173,False,-3.8685889752634095,0.0,12.529797609959026,-1.6236776093358163,8521
BTC:1708545600,1708545600,1708549200,2178540,50978.4,50978.4,51371.6,88015.635,90376.656,-0.0076540345249125,-0.02622288649175,spike_reversal,769,774,1006,12.816666666666666,12.9,0.08333333333333333,2.156991980917411,False,-2.3343830408233734,0.0,26.13185192159817,-0.9135241592517662,41
