variant,n,traded_n,mean_r,total_r,max_dd_r,mar_like,wr_pct,is_total_r,oos_total_r,scope
wick_p1|tilt=skip_after_loss|H=off,73,43,0.3092265450163085,13.296741435701264,-3.028894667539941,4.3899649526276985,60.46511627906976,8.73719062845969,4.559550807241574,ETH
wick_p1|tilt=skip_after_loss|H=on,73,43,0.22479555249778327,9.666208757404682,-2.45793280567825,3.9326578558510907,60.46511627906976,5.743124062679623,3.9230846947250586,ETH
wick_p1|tilt=half_after_loss|H=off,73,73,0.23502519953519907,17.156839566069532,-4.0831785650579135,4.201834255521026,58.9041095890411,11.465397410672026,5.691442155397509,ETH
wick_p1|tilt=half_after_loss|H=on,73,73,0.16499369628729849,12.04453982897279,-3.1406672407469065,3.835025778187308,58.9041095890411,7.474477786992219,4.570062041980569,ETH
wick_p1|tilt=half_after_2stops_7d|H=off,73,73,0.2879032561155863,21.0169376964378,-6.166357130115825,3.408323140058388,58.9041095890411,14.193604192884358,6.823333503553445,ETH
wick_p1|tilt=half_after_2stops_7d|H=on,73,73,0.19757357398001235,14.422870900540902,-4.270633404578833,3.377220551189707,58.9041095890411,9.205831511304819,5.217039389236081,ETH
wick_p2|tilt=none|H=off,73,73,0.33840313823115775,24.703429090874515,-6.223540164239264,3.9693532039564086,45.20547945205479,22.24768459341224,2.45574449746227,ETH
wick_p2|tilt=none|H=on,73,73,0.26721864267632545,19.506960915371756,-4.5,4.3348802034159455,45.20547945205479,15.730019119571693,3.776941795800065,ETH
wick_p2|tilt=skip_after_loss|H=off,73,33,0.3411243318812815,11.25710295208229,-3.354492744327235,3.3558286781568145,45.45454545454545,10.673567739872993,0.5835352122092949,ETH
wick_p2|tilt=skip_after_loss|H=on,73,33,0.3742034166666922,12.348712750000844,-2.6772463721636175,4.6124678245511,45.45454545454545,10.347927607949057,2.000785142051786,ETH
wick_p2|tilt=half_after_loss|H=off,73,73,0.2463050139928548,17.9802660214784,-4.5694672379654,3.9348714161006417,45.20547945205479,16.46062616664262,1.5196398548357826,ETH
wick_p2|tilt=half_after_loss|H=on,73,73,0.21818954565323703,15.927836832686303,-2.556254013320869,6.230928831675145,45.20547945205479,13.038973363760375,2.8888634689259254,ETH
