asset,threshold,entry_ts,entry_iso,entry_date,bar_day_str,exit_ts,exit_iso,hold_hours_scheduled,hold_hours_actual,pdo,today_open,gap_pct,btc_30d_pct,entry_price,exit_price,gross_bp,net_bp,in_band,config
BTC,-7.0,1635966000,2021-11-03T19:00:00Z,2021-11-03,2021-11-03,1635987600,2021-11-04T01:00:00Z,24,6.0,60911.12,63220.57,3.791508020210426,28.044608459386026,63149.04,62829.56,-50.591426251294095,-68.5914262512941,False,m7
BTC,-7.0,1637913600,2021-11-26T08:00:00Z,2021-11-26,2021-11-26,1637974800,2021-11-27T01:00:00Z,24,17.0,57138.29,58960.37,3.188894872422681,-4.99094827967272,56957.86,54082.72,-504.783712028507,-522.783712028507,False,m7
BTC,-7.0,1645660800,2022-02-24T00:00:00Z,2022-02-24,2022-02-23,1645664400,2022-02-24T01:00:00Z,24,1.0,37008.16,38230.33,3.3024338416176273,1.6084407268343142,37250.01,36755.82,-132.66842076015584,-150.66842076015584,False,m7
BTC,-7.0,1649952000,2022-04-14T16:00:00Z,2022-04-14,2022-04-14,1649984400,2022-04-15T01:00:00Z,24,9.0,40074.95,41147.78,2.6770588609592822,2.4269096301596815,39964.02,39859.99,-26.030914807869678,-44.03091480786968,False,m7
BTC,-7.0,1660046400,2022-08-09T12:00:00Z,2022-08-09,2022-08-09,1660093200,2022-08-10T01:00:00Z,24,13.0,23174.39,23810.98,2.74695472027527,9.210847513642005,23263.92,22771.87,-211.50777684930122,-229.50777684930122,False,m7
BTC,-7.0,1664305200,2022-09-27T19:00:00Z,2022-09-27,2022-09-27,1664326800,2022-09-28T01:00:00Z,24,6.0,18809.13,19226.68,2.219932554030937,-4.348712546617619,19140.98,19096.83,-23.065694650952207,-41.06569465095221,False,m7
BTC,-7.0,1675080000,2023-01-30T12:00:00Z,2023-01-30,2023-01-30,1675126800,2023-01-31T01:00:00Z,24,13.0,23021.4,23743.37,3.1360820801515006,39.29655975831691,23077.47,22828.32,-107.96244129014254,-125.96244129014254,False,m7
BTC,-7.0,1675875600,2023-02-08T17:00:00Z,2023-02-08,2023-02-08,1675904400,2023-02-09T01:00:00Z,24,8.0,22762.52,23242.42,2.108290294747672,32.53988956500059,22966.3,22980.64,6.243931325464747,-11.756068674535253,False,m7
BTC,-7.0,1676998800,2023-02-21T17:00:00Z,2023-02-21,2023-02-21,1677027600,2023-02-22T01:00:00Z,24,8.0,24272.51,24843.89,2.3540210715743903,6.941454769826224,24403.27,24412.47,3.7699865632756513,-14.230013436724349,False,m7
BTC,-7.0,1678899600,2023-03-15T17:00:00Z,2023-03-15,2023-03-15,1678928400,2023-03-16T01:00:00Z,24,8.0,24112.27,24670.41,2.314755101863074,12.095233577755707,24104.69,24202.64,40.635245672107075,22.635245672107075,False,m7
BTC,-7.0,1679695200,2023-03-24T22:00:00Z,2023-03-24,2023-03-24,1679706000,2023-03-25T01:00:00Z,24,3.0,27250.97,28295.42,3.832707606371432,14.844988418928503,27335.14,27556.35,80.92513885057828,62.92513885057828,False,m7
BTC,-7.0,1681894800,2023-04-19T09:00:00Z,2023-04-19,2023-04-19,1681952400,2023-04-20T01:00:00Z,24,16.0,29430.27,30380.01,3.2270855822933258,3.0183814634887263,29168.47,28920.01,-85.18101909356312,-103.18101909356312,False,m7
BTC,-7.0,1682542800,2023-04-26T21:00:00Z,2023-04-26,2023-04-26,1682557200,2023-04-27T01:00:00Z,24,4.0,27510.93,28300.8,2.8711134083798653,5.06418467199924,28413.39,29225.54,285.8335453812444,267.8335453812444,False,m7
BTC,-7.0,1683381600,2023-05-06T14:00:00Z,2023-05-06,2023-05-06,1683421200,2023-05-07T01:00:00Z,24,11.0,28838.16,29505.6,2.314433375777091,3.745559524953427,28935.84,28942.72,2.3776741922820754,-15.622325807717925,False,m7
BTC,-7.0,1689361200,2023-07-14T19:00:00Z,2023-07-14,2023-07-14,1689382800,2023-07-15T01:00:00Z,24,6.0,30380.0,31454.23,3.535977616853191,16.11728792133369,30091.83,30328.76,78.73565682113615,60.735656821136146,False,m7
BTC,-7.0,1698940800,2023-11-02T16:00:00Z,2023-11-02,2023-11-02,1698973200,2023-11-03T01:00:00Z,24,9.0,34639.78,35421.43,2.256509712244135,26.67767416346682,34640.01,34510.29,-37.4480261408705,-55.4480261408705,False,m7
BTC,-7.0,1700164800,2023-11-16T20:00:00Z,2023-11-16,2023-11-16,1700182800,2023-11-17T01:00:00Z,24,5.0,35551.2,37858.2,6.489232430972796,25.965836584963007,35921.01,36368.01,124.43970812624715,106.43970812624715,False,m7
BTC,-7.0,1702562400,2023-12-14T14:00:00Z,2023-12-14,2023-12-14,1702602000,2023-12-15T01:00:00Z,24,11.0,41492.38,42869.03,3.3178381187099935,16.620049825686802,42570.12,42888.99,74.90465143156655,56.90465143156655,False,m7
