asset,ts,iso,bar_day,bar_day_str,pdo,today_open,gap_pct,hour_low,hour_high,hour_close,btc_30d_pct,regime_available
BTC,1603904400,2020-10-28T17:00:00Z,18563,2020-10-28,13052.15,13636.16,4.47443524630042,13043.21,13221.5,13142.02,20.754332107905068,True
BTC,1603908000,2020-10-28T18:00:00Z,18563,2020-10-28,13052.15,13636.16,4.47443524630042,13000.01,13219.0,13182.88,21.063361630380076,True
BTC,1604476800,2020-11-04T08:00:00Z,18570,2020-11-04,13549.63,14023.53,3.4975124782005227,13525.0,13817.0,13600.46,27.269936956723136,True
BTC,1604941200,2020-11-09T17:00:00Z,18575,2020-11-09,14818.3,15475.1,4.432357287948017,14805.54,15135.7,15111.62,33.321864118030575,True
BTC,1606831200,2020-12-01T14:00:00Z,18597,2020-12-01,18185.0,19695.87,8.308331042067632,18001.12,18844.15,18759.73,36.0016674218396,True
BTC,1608440400,2020-12-20T05:00:00Z,18616,2020-12-20,23107.39,23821.6,3.0908293840195675,23060.0,23452.63,23426.54,28.75411037994942,True
BTC,1608505200,2020-12-20T23:00:00Z,18616,2020-12-20,23107.39,23821.6,3.0908293840195675,23090.0,23614.36,23507.79,26.25028262636016,True
BTC,1608764400,2020-12-23T23:00:00Z,18619,2020-12-23,22719.88,23810.79,4.801565853340774,22600.0,23379.88,23291.91,26.478548195289882,True
BTC,1609218000,2020-12-29T05:00:00Z,18625,2020-12-29,26281.54,27079.42,3.0358951568286994,26203.0,26583.65,26487.62,49.11681585317795,True
BTC,1609221600,2020-12-29T06:00:00Z,18625,2020-12-29,26281.54,27079.42,3.0358951568286994,25880.0,26492.0,26452.18,48.688696262178674,True
BTC,1609225200,2020-12-29T07:00:00Z,18625,2020-12-29,26281.54,27079.42,3.0358951568286994,26264.52,26533.3,26356.22,48.65936386551731,True
BTC,1609228800,2020-12-29T08:00:00Z,18625,2020-12-29,26281.54,27079.42,3.0358951568286994,26145.46,26462.94,26435.63,48.370239328654,True
BTC,1609261200,2020-12-29T17:00:00Z,18625,2020-12-29,26281.54,27079.42,3.0358951568286994,26204.99,26625.99,26430.84,46.10923958168647,True
